pm25,pm10,o3,co,no2,so2
35.0,64.0,9.0,0.52,32.0,3.0
28.0,64.0,12.0,0.525,28.5,3.0
28.0,56.0,14.0,0.53,25.0,3.0
27.0,48.0,16.0,0.56,18.0,2.0
32.0,47.0,17.0,0.61,15.0,2.0
29.0,45.0,13.0,0.61,16.0,3.0
28.0,48.0,10.0,0.58,22.0,2.0
31.0,51.0,10.0,0.68,24.0,1.0
29.0,55.0,16.0,0.62,22.0,1.0
29.0,49.0,26.0,0.45,14.0,1.0
13.0,35.0,32.0,0.42,12.0,1.0
15.0,27.0,41.0,0.45,11.0,1.0
18.0,28.0,52.0,0.4,9.0,1.0
13.0,25.0,60.0,0.42,9.0,1.0
15.0,44.0,54.0,0.42,11.0,1.0
18.0,39.0,48.0,0.46,16.0,1.0
16.0,36.0,29.0,0.48,14.0,1.0
17.0,49.0,25.0,0.55,21.0,1.0
14.0,38.0,14.0,0.71,33.0,1.0
19.0,42.0,11.0,0.68,31.0,1.0
22.0,40.0,4.0,0.79,39.0,1.0
23.0,41.0,3.0,0.8,36.0,1.0
23.0,39.0,3.0,0.83,35.0,1.0
19.0,41.0,3.0,0.97,34.0,1.0
28.0,54.0,7.0,0.6699999999999999,21.5,1.0
37.0,88.0,12.0,0.37,9.0,1.0
6.0,16.0,17.0,0.34,8.0,1.0
6.0,14.0,10.0,0.35,10.0,1.0
10.0,17.0,5.0,0.38,14.0,1.0
11.0,19.0,3.0,0.45,16.0,1.0
18.0,29.0,3.0,0.56,16.0,1.0
17.0,40.0,4.0,0.65,17.0,1.0
18.0,36.0,7.0,0.54,18.0,2.0
20.0,33.0,15.0,0.41,13.0,1.0
11.0,32.0,22.0,0.39,12.0,1.0
13.0,32.0,29.0,0.38,11.0,1.0
12.0,28.0,33.0,0.36,9.0,1.0
11.0,25.0,43.0,0.37,8.0,1.0
11.0,30.0,38.0,0.34,7.0,1.0909090909090908
10.0,29.0,33.0,0.34,7.0,1.1818181818181819
12.0,29.0,27.0,0.37,9.0,1.2727272727272727
10.0,24.0,22.0,0.41,12.0,1.3636363636363638
10.0,24.0,11.0,0.56,25.0,1.4545454545454546
10.0,26.0,4.0,0.7,31.0,1.5454545454545454
21.0,38.0,3.0,0.73,30.0,1.6363636363636362
19.0,34.0,3.0,0.82,30.0,1.7272727272727273
22.0,42.0,3.0,1.01,30.0,1.8181818181818183
24.0,48.0,3.0,0.875,30.5,1.9090909090909092
33.0,61.0,5.0,0.74,31.0,2.0
27.0,54.0,7.0,0.58,30.0,2.0
24.0,44.0,12.0,0.51,22.0,2.0
21.0,42.0,16.0,0.46,17.0,1.0
13.0,35.0,16.0,0.45,15.0,1.0
15.0,31.0,11.0,0.46,18.0,1.0
17.0,31.0,7.0,0.52,22.0,1.0
23.0,38.0,11.0,0.52,20.0,1.0
20.0,38.0,16.0,0.51,17.0,1.0
16.0,41.0,23.0,0.49,14.0,1.0
15.0,34.0,34.0,0.44,10.0,1.0
11.0,33.0,43.0,0.4,8.0,1.0
7.0,24.0,56.0,0.44,8.0,1.0
12.0,33.0,65.0,0.44,8.0,1.0
11.0,27.0,64.0,0.41,6.0,1.0
12.0,24.0,57.0,0.4,8.0,1.0
10.0,29.0,49.0,0.44,10.0,1.0
11.0,40.0,37.0,0.47,12.0,1.0
12.0,29.0,30.0,0.51,15.0,1.0
13.0,26.0,21.0,0.57,19.0,1.0
17.0,32.0,9.0,0.66,26.0,1.0
19.0,43.0,4.0,0.74,31.0,1.0
20.0,38.0,8.0,0.6,22.5,2.5
12.0,27.0,10.5,0.46,14.0,4.0
9.0,22.0,13.0,0.55,14.0,2.0
28.0,39.0,10.0,0.57,12.0,1.0
30.0,44.0,14.0,0.53,14.0,1.0
20.0,27.0,13.0,0.52,15.0,1.0
26.0,40.0,10.0,0.56,16.0,1.0
23.0,36.0,6.0,0.66,19.0,1.0
23.0,34.0,4.0,0.74,22.0,1.0
23.0,45.0,4.0,0.95,26.0,1.0
33.0,52.0,11.0,0.86,22.0,1.0
22.0,40.0,21.0,0.52,13.0,1.0
16.0,30.0,28.0,0.44,10.0,1.0
12.0,30.0,36.0,0.42,7.0,1.0
10.0,26.0,41.0,0.43,7.0,1.0
12.0,25.0,42.0,0.42,7.0,1.0
12.0,23.0,42.0,0.4,8.0,1.0
11.0,31.0,37.0,0.39,8.0,1.0
8.0,20.0,31.0,0.42,11.0,1.0
7.0,22.0,23.0,0.48,17.0,1.0
11.0,27.0,17.0,0.52,20.0,1.0
12.0,24.0,13.0,0.6,25.0,1.0
22.0,42.0,13.0,0.65,32.0,1.0
26.0,47.0,12.0,0.645,30.5,1.0
33.0,59.0,12.5,0.64,29.0,1.0
31.0,54.0,13.0,0.64,26.0,1.0
31.0,46.0,11.0,0.6,23.0,1.0
26.0,57.0,4.0,0.61,24.0,1.0
28.0,45.0,4.0,0.59,24.0,1.0
24.0,42.0,9.0,0.54,18.0,1.0
21.0,38.0,11.0,0.53,15.0,2.0
24.0,38.0,13.0,0.5,14.0,2.0
24.0,47.0,9.0,0.57,18.0,1.0
27.0,43.0,13.0,0.62,17.0,1.0
32.0,54.0,22.0,0.58,14.0,2.0
37.0,61.0,30.0,0.54,14.0,3.0
28.0,53.0,46.0,0.51,11.0,2.0
23.0,47.0,53.0,0.47,8.0,1.0
20.0,33.0,51.0,0.44,6.0,1.0
14.0,26.0,50.0,0.43,7.0,1.0
14.0,31.0,51.0,0.42,5.0,1.0
13.0,25.0,45.0,0.41,7.0,1.0
11.0,22.0,47.0,0.54,11.0,1.0
29.0,44.0,48.0,0.53,13.0,1.0
27.0,39.0,38.0,0.5,10.0,1.0
18.0,29.0,29.0,0.55,13.0,1.0
19.0,27.0,17.0,0.645,19.5,1.0
20.0,30.0,11.5,0.74,26.0,1.0
25.0,34.0,6.0,0.84,30.0,1.0
27.0,40.0,13.0,0.71,26.0,1.0
